Mean_Train,STD_Train,Mean_Test,STD_Test
539.0102040816327,2046.1096958987753,48.785714285714285,1453.4817399497479
152.8673469387755,1582.310498295265,370.57142857142856,1775.2574748584545
580.9030612244898,2171.588548099185,-190.42857142857142,1150.9865776979402
266.0561224489796,1761.008379354395,11.142857142857142,1277.4170287365525
444.0357142857143,1877.1948959274098,254.0,2045.7799071677844
303.0051020408163,1776.705537307885,404.57142857142856,1483.012268241602
231.44897959183675,1872.8400218376682,790.7142857142857,2196.3928034253745
259.03061224489795,1657.524835619528,414.2857142857143,1398.962545632167
438.05102040816325,1970.402276198944,120.42857142857143,1498.424635327083
191.6377551020408,1695.9617993637364,1088.2142857142858,2030.0638335696112
410.46938775510205,1934.2858076813739,386.35714285714283,1478.6674796268844
327.2040816326531,1747.2274536182222,362.07142857142856,1865.2981938662826
423.4795918367347,1948.2168232514148,81.57142857142857,1427.9690229876296
364.1530612244898,1748.0025268045579,408.2142857142857,1742.745378442196
484.6275510204082,2018.3467393541052,-106.64285714285714,1102.0664749941911
550.1989795918367,2128.2046343124903,493.2142857142857,1991.141638736482
420.8775510204082,1989.6112699254622,498.07142857142856,1809.1296433165123
562.9489795918367,2023.1115501463812,403.35714285714283,1722.7513545465106
349.32142857142856,1813.6481145520943,16.0,1211.1828928778675
357.1275510204082,1641.3164232035442,279.5,1933.838734227857
