Mean_Train,STD_Train,Finish Train,Train Steps,Train Steps STD,Mean_Test,STD_Test,Finish Test,Test Steps,Test Steps STD
-6262.928571428572,7176.958341150675,1.0,1170.4598214285713,1207.1157582199087,-6444.75,7553.9496675816645,1.0,1199.1607142857142,1272.4561285839752
-6504.669642857143,6891.902413195286,1.0,1210.8035714285713,1160.0592529454639,-7272.214285714285,6910.249030850287,1.0,1339.875,1162.1550342620878
-7027.607142857143,7906.475424067133,1.0,1297.4776785714287,1329.6513706076857,-6490.821428571428,7430.23191598049,1.0,1208.6607142857142,1249.472464064988
-6950.303571428572,7964.737051573111,1.0,1285.392857142857,1338.3427909248094,-6320.892857142857,6962.2704570486085,1.0,1178.142857142857,1173.4575959922186
-7010.276785714285,7684.415545799988,1.0,1295.4017857142858,1291.8397315997322,-5490.214285714285,6756.591540103332,1.0,1039.875,1136.789056674544
-6560.4375,7507.466487344032,1.0,1219.5401785714287,1262.8844563820544,-6770.678571428572,6156.345794344305,1.0,1256.0714285714287,1039.4659146672882
-6528.964285714285,6791.928636688355,1.0,1214.7857142857142,1144.0336684026286,-5920.607142857143,6744.4814099025,1.0,1110.5892857142858,1137.6184361699557
-7131.133928571428,7845.036535920039,1.0,1315.7276785714287,1319.2653197430584,-5820.107142857143,7239.632438574714,1.0,1094.5535714285713,1217.5482084859082
-6200.892857142857,7146.01925070018,1.0,1157.736607142857,1203.7267344210302,-5255.571428571428,7187.182417473541,1.0,998.3928571428571,1209.6799558822431
-7108.21875,8325.911755166939,0.9955357142857143,1311.111607142857,1396.4043945360384,-6771.535714285715,7690.1160170615985,1.0,1255.0892857142858,1293.856517723906
-7191.549107142857,8351.043908617648,0.9955357142857143,1324.950892857143,1400.597516718664,-6482.571428571428,7725.5254071374675,1.0,1205.517857142857,1300.4952901418453
-5870.410714285715,6776.826641674832,1.0,1103.4107142857142,1141.2633667936618,-7372.178571428572,8474.677800675085,1.0,1356.017857142857,1423.938395174648
-6235.955357142857,6344.990833451097,1.0,1165.1964285714287,1069.9346595477364,-5341.178571428572,6721.805776477306,1.0,1012.4107142857143,1132.5539056358061
-5636.209821428572,7415.052615510992,0.9955357142857143,1062.9910714285713,1244.4316581098358,-7744.767857142857,10151.64659935779,0.9821428571428571,1416.9285714285713,1694.6800251832506
-6139.446428571428,6647.1563050344075,1.0,1149.5982142857142,1119.6827233945517,-6912.75,6722.138648445789,1.0,1281.125,1133.471848262484
-6986.303571428572,7840.8152009205805,1.0,1291.3169642857142,1318.2558899917449,-7789.928571428572,9724.54233197257,1.0,1424.982142857143,1631.6756121400329
-7108.955357142857,7780.276572948963,1.0,1312.4330357142858,1308.1758991113484,-6347.571428571428,7187.801618161204,1.0,1183.4642857142858,1209.181393167143
-6366.950892857143,8081.593054938128,0.9955357142857143,1185.638392857143,1355.4512488430832,-5867.142857142857,6742.016462423675,1.0,1102.0,1136.8877787312922
-6897.910714285715,7061.477702943692,1.0,1276.5669642857142,1188.6949232312656,-5835.0,9263.069878362603,1.0,1094.25,1555.6558360887998
-7090.419642857143,7076.704799827379,1.0,1308.4151785714287,1192.2098373930464,-5212.178571428572,6059.405849901996,1.0,991.4642857142857,1022.9028889161772
-5923.071428571428,6301.915128007695,1.0,1113.1651785714287,1062.413771476623,-6323.357142857143,6631.787025995577,1.0,1181.0892857142858,1116.4969815835618
-6446.839285714285,7188.587717140834,1.0,1200.830357142857,1210.322937929561,-8293.607142857143,8911.497492562572,1.0,1507.6607142857142,1500.4720718682613
-6538.526785714285,7001.778417531584,1.0,1216.9330357142858,1177.8982455058604,-6616.285714285715,6689.559855567816,1.0,1230.2142857142858,1125.7970623119445
-5270.544642857143,5555.331035829447,1.0,1002.6205357142857,938.3942704959964,-6359.25,7573.465182205001,1.0,1183.4464285714287,1275.407454777308
