Mean_Train,STD_Train,Finish Train,Mean_Test,STD_Test,Finish Test
-20.443877551020407,285.4832135478681,0.0,0.0,0.0,0.0
-24.372448979591837,340.3427280055318,0.0,0.0,0.0,0.0
-27.683673469387756,386.58146161984826,0.0,0.0,0.0,0.0
-35.42857142857143,494.73307583638547,0.0,0.0,0.0,0.0
-35.14795918367347,490.8145390894096,0.0,0.0,0.0,0.0
-27.459183673469386,383.4466322222676,0.0,0.0,0.0,0.0
-0.6326530612244898,8.834519211364023,0.0,0.0,0.0,0.0
-26.28061224489796,366.9887778849684,0.0,0.0,0.0,0.0
-32.39795918367347,452.41287896904504,0.0,0.0,0.0,0.0
-31.668367346938776,442.224683426907,0.0,0.0,0.0,0.0
-18.4234693877551,257.26974896964106,0.0,0.0,0.0,0.0
-35.70918367346939,498.6516125833612,0.0,0.0,0.0,0.0
-14.326530612244898,200.05911246379173,0.0,0.0,0.0,0.0
-22.96938775510204,320.75004427065187,0.0,0.0,0.0,0.0
-26.505102040816325,370.1236072825492,0.0,0.0,0.0,0.0
-27.852040816326532,388.93258366803394,0.0,0.0,0.0,0.0
-26.6734693877551,372.4747293307349,0.0,0.0,0.0,0.0
-12.081632653061224,168.710818487984,0.0,0.0,0.0,0.0
-27.852040816326532,388.93258366803394,0.0,0.0,0.0,0.0
-7.36734693877551,102.8794011387875,0.0,0.0,0.0,0.0
-8.658163265306122,120.90467017487701,0.0,0.0,0.0,0.0
-26.168367346938776,365.42136318617816,0.0,0.0,0.0,0.0
-27.627551020408163,385.7977542704532,0.0,0.0,0.0,0.0
-29.367346938775512,410.09268210170427,0.0,0.0,0.0,0.0
-25.663265306122447,358.3679970416212,0.0,0.0,0.0,0.0
-19.489795918367346,272.1601886081498,0.0,0.0,0.0,0.0
-27.79591836734694,388.14887631863866,0.0,0.0,0.0,0.0
-30.377551020408163,424.1994143908176,0.0,0.0,0.0,0.0
-29.816326530612244,416.3623408968656,0.0,0.0,0.0,0.0
-36.88775510204081,515.1094669206602,0.0,0.0,0.0,0.0
-28.974489795918366,404.6067306559377,0.0,0.0,0.0,0.0
-28.301020408163264,395.2022424631954,0.0,0.0,0.0,0.0
-13.48469387755102,188.30350222286387,0.0,0.0,0.0,0.0
-37.392857142857146,522.162833065217,0.0,0.0,0.0,0.0
-35.5969387755102,497.08419788457076,0.0,0.0,0.0,0.0
-31.724489795918366,443.0083907763023,0.0,0.0,0.0,0.0
-26.056122448979593,363.8539484873878,0.0,0.0,0.0,0.0
-35.26020408163265,492.38195378819967,0.0,0.0,0.0,0.0
-25.43877551020408,355.23316764404046,0.0,0.0,0.0,0.0
-9.275510204081632,129.52545101822412,0.0,0.0,0.0,0.0
-28.244897959183675,394.4185351138004,0.0,0.0,0.0,0.0
-29.872448979591837,417.14604824626105,0.0,0.0,0.0,0.0
-32.566326530612244,454.76400101723056,0.0,0.0,0.0,0.0
-11.183673469387756,156.17150089766074,0.0,0.0,0.0,0.0
-7.030612244897959,98.17715704241635,0.0,0.0,0.0,0.0
-30.770408163265305,429.685365836584,0.0,0.0,0.0,0.0
-24.540816326530614,342.6938500537173,0.0,0.0,0.0,0.0
-32.566326530612244,454.76400101723056,0.0,0.0,0.0,0.0
-30.321428571428573,423.41570704142265,0.0,0.0,0.0,0.0
-15.673469387755102,218.86808884927655,0.0,0.0,0.0,0.0
-23.698979591836736,330.93823981278933,0.0,0.0,0.0,0.0
-17.525510204081634,244.73043137931788,0.0,0.0,0.0,0.0
-24.091836734693878,336.4241912585558,0.0,0.0,0.0,0.0
-20.724489795918366,289.40175029484413,0.0,0.0,0.0,0.0
-32.39795918367347,452.41287896904504,0.0,0.0,0.0,0.0
-24.316326530612244,339.5590206561365,0.0,0.0,0.0,0.0
-24.821428571428573,346.6123868006933,0.0,0.0,0.0,0.0
-24.709183673469386,345.0449721019029,0.0,0.0,0.0,0.0
-35.98979591836735,502.57014933033724,0.0,0.0,0.0,0.0
-16.066326530612244,224.35404029504295,0.0,0.0,0.0,0.0
-27.010204081632654,377.176973427106,0.0,0.0,0.0,0.0
-6.13265306122449,85.63783945209316,0.0,0.0,0.0,0.0
-21.903061224489797,305.85960463214326,0.0,0.0,0.0,0.0
-36.94387755102041,515.8931742700557,0.0,0.0,0.0,0.0
