Mean_Train,STD_Train,Finish Train,Train Steps,Train Steps STD,Mean_Test,STD_Test,Finish Test,Test Steps,Test Steps STD
-4780.955357142857,7888.458868463193,1.0,293.76785714285717,330.9825735092963,-5768.678571428572,7271.333767186494,1.0,336.17857142857144,304.99497110273666
-4575.482142857143,7197.230120705841,1.0,285.14285714285717,302.48032277036685,-3621.3214285714284,5967.291623949269,1.0,245.32142857142858,251.08771284317424
-4100.25,6137.542302007259,1.0,265.5625,258.0650451384717,-4110.214285714285,5614.5553274956865,1.0,265.8392857142857,236.9971953409782
-4526.4375,7838.837295663144,1.0,283.0669642857143,328.9851277273556,-3609.0,6325.290157093868,1.0,244.25,266.47053240997803
-4027.3928571428573,6395.316022233357,1.0,262.23214285714283,269.0144872009305,-7277.035714285715,9225.217891279404,1.0,398.5,387.24692196507976
-4836.428571428572,7747.255930920552,1.0,296.20535714285717,325.2574018701205,-5774.357142857143,9326.773145146202,1.0,335.0892857142857,391.2935633796535
-4954.017857142857,7307.353876626788,1.0,301.4330357142857,306.7258765949285,-3998.1428571428573,5922.728399469078,1.0,261.19642857142856,249.28794449984775
-4273.339285714285,6303.42780266869,1.0,272.5669642857143,265.37280881552573,-5119.285714285715,6423.245079158881,1.0,308.25,270.6039706445037
-4588.580357142857,7223.4525457735745,1.0,285.75892857142856,303.3971420648813,-4835.142857142857,6920.986385698241,1.0,296.0892857142857,291.1519164570837
-3137.3839285714284,5876.440804702306,1.0,224.74107142857142,247.5774498420254,-3386.25,5387.259441928044,1.0,234.875,227.47684831177247
-3869.3571428571427,6668.830818036385,1.0,255.64285714285714,280.29840148946806,-5475.428571428572,8709.192349911391,1.0,323.51785714285717,364.9467177876513
-4004.973214285714,7023.148652796873,1.0,261.1919642857143,295.0043185635451,-5188.071428571428,7833.223483199947,1.0,311.125,328.7745679304547
-4657.3125,7351.604893456028,1.0,288.67857142857144,308.8194171323415,-4369.071428571428,8111.173888657598,1.0,276.44642857142856,340.1931132062482
-4114.794642857143,6917.445027452581,1.0,265.78125,290.6996661477916,-3876.1071428571427,7176.976357170027,1.0,255.69642857142858,301.61700641487954
-4171.285714285715,6387.386484074592,1.0,268.1294642857143,268.8407757452066,-3073.1785714285716,5235.982358051498,1.0,222.01785714285714,221.08236111324703
-3831.214285714286,5950.485114420401,1.0,254.0625,250.46352675910148,-2689.1785714285716,4947.635723638769,1.0,205.71428571428572,209.06797547053193
-4327.633928571428,6871.028592544433,1.0,274.8125,288.9006110378372,-4347.214285714285,6160.55365877557,1.0,275.80357142857144,259.48289371382856
