Mean_Train,STD_Train,Finish Train,Train Steps,Mean_Test,STD_Test,Finish Test,Test Steps
-6968.142857142857,7414.96248949806,0.9910714285714286,1287.6339285714287,-6134.678571428572,6138.833460342977,1.0,1149.357142857143
-5880.616071428572,6428.604009683062,1.0,1105.8392857142858,-4754.035714285715,5494.830284537216,1.0,915.1071428571429
-5606.772321428572,6212.9704971982055,0.9955357142857143,1059.2410714285713,-5929.071428571428,6212.4424914186275,1.0,1114.6607142857142
-6412.058035714285,6186.893350580182,0.9955357142857143,1196.7098214285713,-6224.035714285715,6164.836783739945,1.0,1163.0357142857142
-6753.455357142857,7118.508676943598,0.9910714285714286,1251.3125,-7678.178571428572,8069.08084274062,0.9642857142857143,1405.517857142857
-7068.776785714285,7922.959331914772,0.9821428571428571,1302.611607142857,-6820.125,7723.555466101504,0.9821428571428571,1260.6785714285713
-6610.232142857143,7685.5712132984045,0.9821428571428571,1225.9598214285713,-7082.25,7107.768009745193,1.0,1308.625
-6316.794642857143,7754.852775196399,0.9821428571428571,1176.3839285714287,-7131.375,6852.370722610481,0.9821428571428571,1315.3035714285713
-5753.90625,6388.338839604847,0.9955357142857143,1083.799107142857,-6203.946428571428,7616.513378882856,0.9821428571428571,1155.5
-6121.767857142857,6357.080243546986,0.9910714285714286,1146.2723214285713,-4841.142857142857,5112.687507663695,1.0,929.6428571428571
-6244.5,6834.06686401192,0.9910714285714286,1165.6830357142858,-6349.285714285715,6670.362470645498,1.0,1186.125
-5792.236607142857,6575.8607314324745,0.9866071428571429,1089.4151785714287,-5323.660714285715,6790.885483701102,0.9821428571428571,1009.5357142857143
-6332.8125,6600.729545083918,0.9910714285714286,1181.263392857143,-6414.053571428572,6974.687262368427,0.9821428571428571,1195.107142857143
-6869.008928571428,8076.295163708967,0.9821428571428571,1269.5535714285713,-5598.642857142857,6945.986262451378,1.0,1057.25
-6312.589285714285,6998.529682386318,0.9910714285714286,1177.5580357142858,-7876.767857142857,8044.150769772033,0.9821428571428571,1440.7857142857142
-6848.504464285715,7331.592983085117,0.9955357142857143,1267.700892857143,-3915.964285714286,3842.949109195612,1.0,775.7678571428571
-6520.5,6574.867008432294,1.0,1213.8080357142858,-7419.857142857143,8436.315263762483,0.9642857142857143,1359.107142857143
-6471.763392857143,6503.645766874249,0.9955357142857143,1206.3794642857142,-5945.357142857143,8044.119201602612,1.0,1113.5535714285713
-7207.96875,7824.509365261131,0.9866071428571429,1326.9955357142858,-7458.75,6025.952539551617,1.0,1373.9642857142858
-6345.375,7255.404570073706,0.9910714285714286,1182.236607142857,-7423.017857142857,8389.836139407593,0.9821428571428571,1363.4107142857142
-6667.647321428572,7083.517950123721,0.9955357142857143,1237.861607142857,-7145.678571428572,7965.009255010189,0.9642857142857143,1315.392857142857
-6540.053571428572,7541.713587535383,0.9821428571428571,1213.96875,-5757.0,5866.398554479571,1.0,1085.5
-5874.924107142857,6376.598968840587,0.9955357142857143,1104.7544642857142,-5103.214285714285,6018.921268781966,1.0,973.8392857142857
-6124.125,6921.517543172626,0.9910714285714286,1145.71875,-6707.571428571428,6553.168641573171,1.0,1245.125
-5866.6875,6477.939494837253,1.0,1102.638392857143,-5733.642857142857,7073.850478115487,1.0,1080.5357142857142
-5712.013392857143,6397.945070126528,0.9955357142857143,1076.3392857142858,-5527.392857142857,6063.224194385159,1.0,1044.8035714285713
-6436.714285714285,6901.645444887674,1.0,1198.9642857142858,-7262.410714285715,8088.5389833322315,0.9821428571428571,1336.982142857143
-6128.129464285715,6119.594544533894,0.9955357142857143,1147.794642857143,-6366.857142857143,6310.112437951628,1.0,1187.857142857143
-6477.830357142857,6648.98652842295,0.9910714285714286,1205.205357142857,-7380.642857142857,7780.903437327854,1.0,1356.2857142857142
-6796.607142857143,7333.19788805035,0.9910714285714286,1258.1964285714287,-6011.142857142857,7288.415297650128,1.0,1126.25
-6132.375,6010.665713850731,1.0,1148.9910714285713,-5430.214285714285,5748.728700188186,1.0,1029.75
-6380.772321428572,6784.661659038478,0.9955357142857143,1188.7232142857142,-7419.75,8103.861386158541,1.0,1363.1964285714287
-6963.267857142857,7328.0093775309215,0.9910714285714286,1287.1473214285713,-5722.982142857143,7218.637090622418,0.9821428571428571,1075.517857142857
-6223.258928571428,7046.064047250493,1.0,1163.0982142857142,-6241.821428571428,6593.33901727218,1.0,1167.0535714285713
-5720.839285714285,6424.937885405101,1.0,1079.1473214285713,-6712.714285714285,5882.69257384468,1.0,1247.5
-6920.90625,7173.301937265378,0.9866071428571429,1279.7410714285713,-7207.178571428572,7098.95407061376,1.0,1330.107142857143
-6147.924107142857,6568.0044417554145,0.9955357142857143,1151.1919642857142,-7983.214285714285,8230.448544265124,1.0,1458.357142857143
-5764.754464285715,6657.166754942006,0.9866071428571429,1084.700892857143,-8053.285714285715,8399.643127441032,0.9642857142857143,1467.7142857142858
-6910.098214285715,7359.185259106742,0.9910714285714286,1277.9151785714287,-6621.75,6866.67833570726,1.0,1230.8214285714287
-6439.21875,7772.859882963551,0.9776785714285714,1195.830357142857,-5473.660714285715,6831.991856272292,0.9821428571428571,1033.9285714285713
-6706.044642857143,7824.5489462519645,0.9821428571428571,1241.4017857142858,-5071.607142857143,5601.380581347052,1.0,970.8214285714286
-7189.004464285715,7946.886935695642,0.9776785714285714,1323.4330357142858,-5774.357142857143,5436.858337931447,1.0,1088.482142857143
-5951.504464285715,6789.657297919709,0.9866071428571429,1115.611607142857,-7416.160714285715,8936.750957176746,0.9821428571428571,1361.125
