Mean_Train,STD_Train,Finish Train,Train Steps,Mean_Test,STD_Test,Finish Test,Test Steps
-4004.464285714286,7213.66634036764,1.0,261.04464285714283,-2295.8571428571427,6483.892325900975,1.0,187.27232142857142
-4898.116071428572,7476.626376158587,1.0,298.83035714285717,-3053.1964285714284,6921.529168676846,1.0,219.33928571428572
-4151.035714285715,7722.47199496445,1.0,267.20089285714283,-2557.2321428571427,6564.43803897472,1.0,198.22321428571428
-4279.580357142857,7002.196190097374,1.0,272.8794642857143,-2746.339285714286,6969.060360870511,1.0,206.39285714285714
-5249.303571428572,7322.081799060298,1.0,313.8169642857143,-3190.2053571428573,6690.870790859086,1.0,225.23660714285714
-5333.464285714285,6996.577915984269,1.0,317.23214285714283,-3759.1339285714284,7045.064707443299,1.0,249.05803571428572
-4272.0,6246.990478279464,1.0,272.5,-2701.2589285714284,6066.155693455428,1.0,204.39285714285714
-5071.285714285715,7420.460708921857,1.0,305.91517857142856,-3403.660714285714,7495.882192855682,1.0,233.70982142857142
-4802.517857142857,8230.974743724099,1.0,294.4375,-2911.6875,7437.914475283342,1.0,213.00892857142858
-4208.330357142857,6735.661261005264,1.0,269.90625,-2330.7053571428573,5978.9304274295355,1.0,189.00446428571428
-5103.723214285715,8246.816217605501,1.0,307.08482142857144,-3483.2946428571427,8151.4143198089005,1.0,237.01785714285714
-5674.633928571428,8010.540806265758,1.0,331.61607142857144,-3635.9464285714284,7368.087838102044,1.0,243.95089285714286
-4101.669642857143,6545.480729491904,1.0,265.38392857142856,-2762.7321428571427,6440.450658009309,1.0,207.07142857142858
-4505.116071428572,7896.665016282796,1.0,282.22767857142856,-2858.598214285714,6945.83893801562,1.0,211.15625
-3980.3571428571427,6951.569741608652,1.0,260.1517857142857,-2774.625,7091.517717523268,1.0,207.52678571428572
-5107.5,7785.849499481185,1.0,307.4107142857143,-3278.5178571428573,7177.463239421889,1.0,228.65178571428572
-4008.2410714285716,6458.603273576726,1.0,261.32142857142856,-2657.5178571428573,6413.854450359425,1.0,202.51785714285714
-5094.883928571428,6837.919986116204,1.0,307.19642857142856,-3086.5178571428573,6670.881031155029,1.0,220.70535714285714
-4580.678571428572,7881.606976977526,1.0,285.23214285714283,-2524.339285714286,7014.635253669863,1.0,196.83482142857142
-4440.053571428572,6718.446344419548,1.0,279.5982142857143,-2831.6785714285716,6528.2822207550535,1.0,210.01785714285714
-4593.482142857143,6868.760218999473,1.0,286.0,-2653.339285714286,6355.744838829968,1.0,202.375
-4251.991071428572,7109.354218959312,1.0,271.76339285714283,-2958.2410714285716,7097.076553243514,1.0,215.38839285714286
-3747.8571428571427,5984.793920036523,1.0,250.31696428571428,-2403.589285714286,5839.873816141632,1.0,191.86160714285714
-4500.401785714285,6554.517814835566,1.0,282.17410714285717,-3030.4821428571427,6638.729045454924,1.0,218.38839285714286
-4495.178571428572,7932.59742209129,1.0,281.66517857142856,-2772.0803571428573,7484.148573387806,1.0,207.17410714285714
-4188.401785714285,6586.045865474948,1.0,268.86607142857144,-2511.6964285714284,6175.451086530449,1.0,196.44196428571428
-4369.125,7711.318537806479,1.0,276.3705357142857,-2580.0535714285716,6725.179341527,1.0,199.20982142857142
-4584.508928571428,7645.865641096892,1.0,285.21875,-3090.6696428571427,7229.20241091692,1.0,220.66964285714286
-4830.642857142857,6702.417400856658,1.0,296.0625,-2967.8035714285716,6509.129566341095,1.0,215.75446428571428
-4430.196428571428,7791.276990326249,1.0,278.84375,-2690.8125,6851.4774449843635,1.0,203.86607142857142
-4684.3125,6773.006142468437,1.0,289.61160714285717,-3014.625,6659.465725734471,1.0,217.52232142857142
-4630.285714285715,6843.890267223454,1.0,287.4955357142857,-3000.589285714286,6701.1815570006165,1.0,216.98660714285714
-4966.392857142857,7681.9543125398095,1.0,301.63392857142856,-2997.160714285714,7077.148379711749,1.0,216.875
-4497.026785714285,6588.876820011323,1.0,282.08035714285717,-2979.9375,6401.629489520129,1.0,216.28571428571428
-3614.410714285714,5924.118241431093,1.0,244.73660714285714,-2072.6785714285716,5862.660659105772,1.0,177.80357142857142
-4240.794642857143,7248.208871899704,1.0,270.91964285714283,-2414.4375,6459.0283909441305,1.0,192.20982142857142
-4267.178571428572,6412.305477715548,1.0,272.29910714285717,-2624.7321428571427,6085.639698125038,1.0,201.17410714285714
-5024.089285714285,7759.007546018429,1.0,304.13839285714283,-3272.625,6991.431028313211,1.0,228.57589285714286
-5447.866071428572,8736.243909299776,1.0,321.79017857142856,-3272.276785714286,8273.953234084553,1.0,228.36607142857142
-4200.803571428572,6871.3191105171845,1.0,269.5625,-2593.6339285714284,6610.482548702931,1.0,199.94196428571428
-5572.821428571428,7734.585308643487,1.0,327.3169642857143,-4117.232142857143,7892.349872980686,1.0,264.05357142857144
-4697.303571428572,7798.482657862825,1.0,290.54017857142856,-3178.4464285714284,7934.283315415008,1.0,224.55803571428572
-4506.5625,7120.9621080516945,1.0,282.54464285714283,-3025.7678571428573,7212.004084191536,1.0,218.20089285714286
-4813.392857142857,7827.658084999834,1.0,295.0044642857143,-3045.8035714285716,7377.103242271325,1.0,218.71428571428572
-4145.544642857143,6898.672042745919,1.0,267.07589285714283,-2404.3928571428573,6477.597668885354,1.0,191.92410714285714
