Mean_Train,STD_Train,Mean_Test,STD_Test
389.98979591836735,7285.049067663389,-174.78571428571428,5045.544071543836
949.6122448979592,7746.140320834251,-359.95238095238096,5076.709254514708
96.26530612244898,6286.173745465845,-95.42857142857143,6542.006147610545
-98.00510204081633,5304.700361325166,-1367.547619047619,1759.8996616742097
891.8979591836735,6862.266914356609,133.02380952380952,4964.787472016325
705.3571428571429,6985.213282867093,2658.0238095238096,8822.37009373681
497.1734693877551,7403.056341430759,219.5952380952381,5344.712496430573
804.295918367347,6760.979792853333,763.0714285714286,7427.051374128604
914.5714285714286,7091.9987921140355,1491.7142857142858,8292.672110236312
709.4795918367347,7336.897011665599,190.73809523809524,6139.259180760229
1331.969387755102,8393.033089285327,2588.285714285714,9389.408793411645
-71.20918367346938,6294.649945051114,828.0,5958.510875809732
720.3010204081633,7024.86283591846,1227.1904761904761,10168.733550021747
96.26530612244898,5813.981375943402,2078.4761904761904,9578.835303586895
-78.93877551020408,6551.802502125947,1366.6666666666667,9197.331239903668
851.704081632653,7713.253036976832,-376.7857142857143,4390.079088861906
526.545918367347,6655.978953506699,847.2380952380952,6324.147082750609
765.6479591836735,6883.004408489927,-254.14285714285714,4860.822753067087
1544.7908163265306,8640.977257309743,60.88095238095238,4611.8976220536215
-117.58673469387755,6061.920416025948,710.1666666666666,7415.763650484101
1453.5816326530612,8054.906311193919,823.1904761904761,7181.050699876378
972.8010204081633,6830.165291886336,171.5,6965.452944797666
438.9438775510204,6809.2184252803045,128.21428571428572,5885.894864746017
-7.311224489795919,4977.275095635072,835.2142857142857,7287.860573569991
387.41326530612247,6405.965940452088,1585.5,9138.16136880833
649.704081632653,7125.586206761051,-242.11904761904762,4596.3883295805035
231.7908163265306,6677.510893802752,70.5,4777.003081480709
1722.5714285714287,8425.878047868426,493.73809523809524,5338.574136635949
707.4183673469388,6832.681316879193,-371.9761904761905,4145.877174622055
1180.469387755102,7874.534066817608,488.92857142857144,5229.003667243007
1139.7602040816328,7360.040752344473,2400.714285714286,10048.79650051903
886.2295918367347,7796.322902453976,1628.7857142857142,7817.071679635402
1312.9030612244899,7787.8982484594635,760.6666666666666,10031.004176733795
1049.0663265306123,7783.569102943371,-145.92857142857142,7629.944215588553
1061.9489795918366,7654.865008170639,-891.4047619047619,3326.9817943561584
905.295918367347,7825.27290938213,654.8571428571429,6291.651326016348
571.8928571428571,7162.484227553244,1347.4285714285713,8113.883334674431
1081.530612244898,8710.188642494399,-167.57142857142858,4234.9270480187515
1169.1326530612246,7519.36268893244,371.0952380952381,6389.14057790741
459.5561224489796,6306.320347752953,594.7380952380952,6679.848996937138
1059.3724489795918,8424.155820909014,404.76190476190476,5672.476022780964
487.8979591836735,7302.715907266333,2013.547619047619,10005.776206063558
1140.2755102040817,7652.5120315803415,-25.69047619047619,5866.915809731781
1415.4489795918366,8262.204258960479,1530.1904761904761,11226.326972659052
535.3061224489796,7461.273495979038,1318.5714285714287,8633.202413448014
468.31632653061223,6912.017139790227,1155.047619047619,10018.26349355535
343.0969387755102,6725.599797680655,-836.0952380952381,3160.6659470790237
1198.5051020408164,7651.740391262637,3454.0,11179.498857922286
189.0204081632653,6101.832033319896,1270.4761904761904,8369.109027614575
776.469387755102,6918.484877786821,-145.92857142857142,5103.811849947044
2390.923469387755,9416.809305122464,17.595238095238095,5135.060912419934
921.7857142857143,7612.3637359206095,-367.1666666666667,4984.839415270239
840.3673469387755,7843.567911961113,924.1904761904761,7811.991838675227
668.2551020408164,8077.589598428312,575.5,7465.033633866756
137.48979591836735,5651.050783170994,-208.45238095238096,4886.625894079146
475.015306122449,6692.582837401418,1994.3095238095239,8722.837842310415
985.1683673469388,7678.9095133026,868.8809523809524,6603.8444257957335
1272.1938775510205,8524.474484560422,-992.4047619047619,2898.364662550277
892.9285714285714,7829.547658435595,801.547619047619,6817.208199012614
965.5867346938776,7652.7600441603745,1027.595238095238,6320.507130269442
666.7091836734694,8782.305190047779,4312.5,11472.924487575914
431.2142857142857,6393.7744222207975,813.5714285714286,6967.660573244479
1058.857142857143,7944.96285744134,296.54761904761904,5680.98267070718
-126.86224489795919,5112.117314294065,844.8333333333334,7331.8366857498895
1549.9438775510205,8283.403490697976,-410.45238095238096,4475.047396409717
729.0612244897959,7311.833989647872,12.785714285714286,4984.667718474868
535.3061224489796,7476.805660566609,152.26190476190476,4396.055385822092
434.82142857142856,6757.713310543737,1068.4761904761904,7009.101733216315
904.780612244898,7265.941661786259,-160.35714285714286,4026.301841057886
1462.341836734694,7273.257976473221,-234.9047619047619,5760.932260905281
792.4438775510204,7963.0379485030235,849.6428571428571,5628.94768065014
1095.9591836734694,7313.593676690125,385.5238095238095,6409.2458483562
1163.4642857142858,7961.8811369248915,-694.2142857142857,3699.7939874160193
314.23979591836735,6829.469503006651,-557.1428571428571,3622.3665414400316
186.9591836734694,5472.7878037863675,-511.45238095238096,4580.084170584334
544.5816326530612,6372.255007938183,2225.1666666666665,9034.276978255719
558.4948979591836,7115.324752364197,2054.4285714285716,8100.941527122038
563.6479591836735,6501.317599073779,-263.76190476190476,4389.129899723177
623.4234693877551,6812.4667405486725,1712.952380952381,9428.533852979477
635.7908163265306,6913.834937498645,-37.714285714285715,6165.064790474492
859.4336734693877,7910.06874119933,623.5952380952381,6708.837930952487
514.1785714285714,6609.3281987294595,-198.83333333333334,4356.675359320217
246.73469387755102,6257.835627094651,2374.2619047619046,8044.285144065006
719.7857142857143,7415.355799120567,2299.714285714286,8730.879468834724
1209.3265306122448,7864.3792628087385,-59.357142857142854,4380.394442020841
436.8826530612245,6799.960125296137,984.3095238095239,6092.625051916672
574.469387755102,7220.317868807017,157.07142857142858,5341.136433350103
235.91326530612244,6142.19761140743,1775.4761904761904,8111.709265118791
860.9795918367347,8401.60829049596,452.85714285714283,6901.594607222955
990.8367346938776,7240.291541505597,1044.4285714285713,8092.092057307898
1156.25,8455.058987577695,-934.6904761904761,3456.0812758306756
1272.1938775510205,8222.295087335884,1217.5714285714287,5966.151767392833
274.5612244897959,6012.824400118443,-268.57142857142856,4380.285526368915
406.9948979591837,5862.100774011638,173.9047619047619,5378.90141823776
107.60204081632654,5776.659042973832,962.6666666666666,7221.648544370786
716.1785714285714,7183.779635454118,-913.047619047619,2707.2279351710526
1357.219387755102,9020.747385086364,510.57142857142856,6813.876625935444
853.25,7002.380414045656,1294.5238095238096,7876.672718005742
2021.4489795918366,8796.268808505034,-400.8333333333333,4944.380537619819
333.3061224489796,5952.428228416728,904.952380952381,8419.132903979795
