Mean_Train,STD_Train,Finish Train,Mean_Test,STD_Test,Finish Test
313.6734693877551,1742.9949434721823,0.0,762.7857142857143,2218.7392552197434,0.0
290.7755102040816,1800.6054765709762,0.0,509.0,1781.550408251997,0.0
293.3775510204082,1780.8403085043876,0.0,499.2857142857143,2051.7519492434967,0.0
387.8316326530612,1810.673791381345,0.0,498.07142857142856,2040.3096916289699,0.0
389.6530612244898,1777.5765611230067,0.0,346.2857142857143,1466.2679753408665,0.0
211.1530612244898,1660.9355450274184,0.0,578.2142857142857,1814.5057248491128,0.0
410.7295918367347,1898.4484624646852,0.0,391.2142857142857,1754.479824358671,0.0
307.42857142857144,1730.4530048634133,0.0,526.0,2501.724462388751,0.0
316.5357142857143,1787.766242124398,0.0,196.92857142857142,1885.0036553312689,0.0
226.50510204081633,1850.8360590070934,0.0,154.42857142857142,1641.8472051009983,0.0
395.1173469387755,1850.1344412002632,0.0,216.35714285714286,1563.9627602043863,0.0
598.8571428571429,2013.3303889580668,0.0,733.6428571428571,2143.7164527035375,0.0
54.25,1651.290507621607,0.0,195.71428571428572,1885.5304077015962,0.0
281.1479591836735,1646.004108143855,0.0,437.35714285714283,1930.3175019056491,0.0
137.51530612244898,1352.2622371156374,0.0,313.5,1358.9788577142344,0.0
367.2755102040816,2006.8259321758107,0.0,-73.85714285714286,1303.1430059197457,0.0
323.5612244897959,1801.229183858116,0.0,479.85714285714283,1667.8752461544282,0.0
513.25,1920.2893924524255,0.0,459.2142857142857,1654.8914586147089,0.0
144.28061224489795,1544.1888557677057,0.0,348.7142857142857,1796.8688014977386,0.0
275.16326530612247,1713.8730913765,0.0,-87.21428571428571,1318.5292227419495,0.0
