Mean_Train,STD_Train,Finish Train,Mean_Test,STD_Test,Finish Test
-26.168367346938776,365.42136318617816,0.0,0.0,0.0,0.0
-11.857142857142858,165.57598909040317,0.0,0.0,0.0,0.0
-16.459183673469386,229.83999174080915,0.0,0.0,0.0,0.0
-0.29591836734693877,4.132275114992851,0.0,0.0,0.0,0.0
-8.26530612244898,115.41871872911058,0.0,0.0,0.0,0.0
-8.377551020408163,116.98613342790104,0.0,0.0,0.0,0.0
2.9030612244897958,40.53904380053331,0.0,0.0,0.0,0.0
-32.67857142857143,456.33141571602084,0.0,0.0,0.0,0.0
-22.01530612244898,307.4270193309337,0.0,0.0,0.0,0.0
-21.285714285714285,297.2388237887959,0.0,0.0,0.0,0.0
-12.362244897959183,172.6293552349599,0.0,0.0,0.0,0.0
-30.433673469387756,424.98312174021294,0.0,0.0,0.0,0.0
-35.42857142857143,494.73307583638547,0.0,0.0,0.0,0.0
-32.566326530612244,454.76400101723056,0.0,0.0,0.0,0.0
-32.8469387755102,458.6825377642062,0.0,0.0,0.0,0.0
-17.301020408163264,241.59560198173722,0.0,0.0,0.0,0.0
-23.081632653061224,322.31745896944227,0.0,0.0,0.0,0.0
-18.086734693877553,252.5675048732698,0.0,0.0,0.0,0.0
-38.85204081632653,542.5392241494922,0.0,0.0,0.0,0.0
-17.46938775510204,243.94672402992282,0.0,0.0,0.0,0.0
-29.03061224489796,405.39043800533307,0.0,0.0,0.0,0.0
0.9948979591836735,13.892993921096652,0.0,0.0,0.0,0.0
-29.03061224489796,405.39043800533307,0.0,0.0,0.0,0.0
-30.26530612244898,422.6319996920271,0.0,0.0,0.0,0.0
-23.081632653061224,322.31745896944227,0.0,0.0,0.0,0.0
-21.285714285714285,297.2388237887959,0.0,0.0,0.0,0.0
-31.387755102040817,438.3061466799311,0.0,0.0,0.0,0.0
-39.86224489795919,556.6459564386057,0.0,0.0,0.0,0.0
-5.403061224489796,75.44964390995567,0.0,0.0,0.0,0.0
-34.30612244897959,479.0589288484816,0.0,0.0,0.0,0.0
